Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Actual Physical Attack,2017,12/12/2017,2:22 AM,12/12/2017,2:25 AM,New York: Saratoga County;,NPCC,3,1208,
Fuel Supply Deficiency,2017,12/13/2017,9:55 AM,12/13/2017,2:45 PM,New York: Suffolk County;,NPCC,0,0,
Suspicious Activity,2017,12/13/2017,8:50 AM,Unknown,Unknown,Connecticut: New Haven County[13];,NPCC,0,0,
Vandalism,2017,12/18/2017,1:00 PM,12/18/2017,5:00 PM,Mississippi:,SERC,0,0,
Vandalism,2017,12/19/2017,8:40 AM,12/19/2017,10:36 AM,Florida: Alachua County;,FRCC,0,0,
Suspicious Activity,2017,12/29/2017,6:15 AM,12/29/2017,11:44 AM,Texas: Calhoun County;,TRE,Unknown,Unknown,
Fuel Supply Deficiency,2017,12/29/2017,7:00 AM,Unknown,Unknown,New York: Tompkins County;,NPCC,210,Unknown,
Vandalism,2017,12/31/2017,11:54 PM,01/01/2018,2:14 PM,Colorado:,WECC,0,0,
Severe Weather,2018,01/01/2018,6:21 PM,01/02/2018,6:11 PM,Tennessee:,SERC,Unknown,Unknown,
Severe Weather,2018,01/01/2018,5:43 PM,Unknown,Unknown,Texas:,TRE,Unknown,Unknown,
System Operations,2018,01/01/2018,9:37 PM,01/02/2018,10:30 AM,Tennessee:,SERC,Unknown,Unknown,
Fuel Supply Deficiency,2018,01/02/2018,10:00 AM,02/12/2018,8:00 AM,New York: Niagara County;,NPCC,675,Unknown,
Severe Weather,2018,01/02/2018,7:30 AM,Unknown,Unknown,South Carolina:,SERC,0,717000,
Severe Weather,2018,01/02/2018,6:45 AM,01/02/2018,9:00 AM,North Carolina: South Carolina:,SERC,14998,Unknown,
Actual Physical Attack,2018,01/04/2018,1:49 AM,01/04/2018,2:09 AM,Texas: Midland County;,TRE,Unknown,500,
System Operations,2018,01/12/2018,1:08 PM,01/12/2018,2:53 PM,"Michigan: Midland County, Genesee County;",RF,41,23007,
Severe Weather,2018,01/15/2018,4:20 AM,01/18/2018,5:48 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2018,01/16/2018,3:00 PM,01/18/2018,1:00 PM,Tennessee:,SERC,Unknown,Unknown,
System Operations,2018,01/16/2018,3:00 PM,01/18/2018,1:00 PM,Tennessee: Shelby County;,SERC,Unknown,Unknown,
Severe Weather,2018,01/16/2018,1:57 PM,01/16/2018,2:32 PM,Texas:,TRE,Unknown,Unknown,
System Operations,2018,01/17/2018,5:10 AM,01/17/2018,1:00 PM,Mississippi:,SERC,1788,420000,
System Operations,2018,01/17/2018,6:10 AM,01/17/2018,2:00 PM,Louisiana:,SERC,Unknown,Unknown,
Severe Weather,2018,01/18/2018,5:00 AM,01/18/2018,11:00 AM,Arkansas: Mississippi: Louisiana: Texas:,SERC,31500,Unknown,
System Operations,2018,01/18/2018,5:00 AM,01/18/2018,9:45 AM,Mississippi:,SERC,1760,420000,
System Operations,2018,01/18/2018,6:00 AM,Unknown,Unknown,Louisiana:,SERC,Unknown,Unknown,
Suspicious Activity,2018,01/25/2018,8:19 PM,01/26/2018,2:00 AM,Pennsylvania: Montgomery County;,RF,Unknown,Unknown,
Vandalism,2018,02/04/2018,1:42 PM,02/04/2018,3:25 PM,California:,WECC,9760,0,
System Operations,2018,02/08/2018,1:25 PM,02/08/2018,1:31 PM,California:,WECC,30,10900,
Vandalism,2018,02/17/2018,4:33 PM,02/18/2018,12:00 AM,Oregon: Washington: California:,WECC,2330,0,
Vandalism,2018,02/17/2018,5:56 PM,02/18/2018,4:11 AM,Oregon: Washington: California:,WECC,2327,0,
System Operations,2018,02/28/2018,12:08 PM,03/01/2018,3:45 PM,Florida:,FRCC,0,0,
System Operations,2018,02/28/2018,12:08 PM,03/01/2018,3:45 PM,Florida:,FRCC,0,0,
Severe Weather,2018,03/01/2018,11:43 AM,03/01/2018,11:56 AM,California:,WECC,38,10898,
Severe Weather,2018,03/01/2018,9:57 PM,03/02/2018,10:14 AM,Ohio:,RF,Unknown,86501,
Severe Weather,2018,03/01/2018,10:20 PM,03/04/2018,8:00 PM,"Michigan: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;",RF,Unknown,95000,
